,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E80_488,NA,NA,NA,0.60985
E206_488,0.60985,NA,NA,NA
E547_610,0.76389,NA,NA,NA
E51_83,0.09848,NA,NA,NA
E314_486,NA,NA,0.60732,NA
E388_274,NA,NA,0.33965,NA
E410_295,NA,0.36616,NA,NA
E171_109,NA,NA,0.13131,NA
E479_44,NA,NA,0.04924,NA
E214_334,NA,NA,0.4154,NA
E384_217,NA,NA,NA,0.26768
E28_408,0.50884,NA,NA,NA
E111_670,0.83965,NA,NA,NA
E501_692,NA,NA,NA,0.86742
E487_704,NA,NA,0.88258,NA
E382_119,0.14394,NA,NA,NA
E317_793,0.99495,NA,NA,NA
E589_398,0.49621,NA,NA,NA
E260_664,NA,NA,NA,0.83207
E84_332,NA,NA,0.41288,NA
E120_593,0.74242,NA,NA,NA
E21_290,NA,NA,0.35985,NA
E159_782,NA,0.98106,NA,NA
E552_441,NA,NA,0.55051,NA
E450_663,NA,NA,0.83081,NA
E471_129,0.15657,NA,NA,NA
E11_625,0.78283,NA,NA,NA
E126_423,0.52778,NA,NA,NA
E419_96,NA,NA,0.1149,NA
E270_242,NA,NA,0.29924,NA
E330_588,NA,NA,NA,0.73611
E64_269,0.33333,NA,NA,NA
E292_396,NA,0.49369,NA,NA
E574_542,0.67803,NA,NA,NA
E366_573,0.71717,NA,NA,NA
E62_794,NA,NA,0.99621,NA
E328_115,NA,0.13889,NA,NA
E168_265,0.32828,NA,NA,NA
E271_56,NA,0.06439,NA,NA
E117_428,NA,0.53409,NA,NA
E235_200,NA,NA,NA,0.24621
E22_544,0.68056,NA,NA,NA
E458_576,NA,NA,0.72096,NA
E186_694,NA,NA,NA,0.86995
E230_420,NA,NA,0.52399,NA
E545_331,NA,0.41162,NA,NA
E377_526,NA,NA,0.65783,NA
E99_16,NA,NA,NA,0.01389
E201_277,0.34343,NA,NA,NA
E234_726,0.91035,NA,NA,NA
E386_286,NA,NA,0.3548,NA
E416_415,NA,NA,0.51768,NA
E333_726,0.91035,NA,NA,NA
E301_719,NA,NA,NA,0.90152
E590_275,NA,NA,0.34091,NA
E266_748,0.93813,NA,NA,NA
E12_34,NA,NA,NA,0.03662
E213_208,0.25631,NA,NA,NA
E553_604,0.75631,NA,NA,NA
E407_729,0.91414,NA,NA,NA
E172_61,NA,NA,0.07071,NA
E294_693,0.86869,NA,NA,NA
E91_440,NA,NA,0.54924,NA
E262_258,NA,NA,0.31944,NA
E497_403,NA,NA,NA,0.50253
E351_218,NA,0.26894,NA,NA
E354_214,NA,NA,0.26389,NA
E56_626,0.78409,NA,NA,NA
E67_757,0.94949,NA,NA,NA
E63_611,0.76515,NA,NA,NA
E113_426,NA,NA,NA,0.53157
E199_408,0.50884,NA,NA,NA
E337_446,0.55682,NA,NA,NA
E357_55,NA,NA,0.06313,NA
E348_499,0.62374,NA,NA,NA
E427_425,NA,NA,0.5303,NA
E198_235,0.2904,NA,NA,NA
E115_674,0.8447,NA,NA,NA
E277_292,NA,NA,0.36237,NA
E391_733,0.91919,NA,NA,NA
E554_550,0.68813,NA,NA,NA
E598_107,NA,NA,0.12879,NA
E370_620,0.77652,NA,NA,NA
E364_300,0.37247,NA,NA,NA
E560_435,0.54293,NA,NA,NA
E187_549,0.68687,NA,NA,NA
E189_128,0.1553,NA,NA,NA
E573_608,NA,NA,0.76136,NA
E77_635,NA,NA,0.79545,NA
E392_241,NA,NA,0.29798,NA
E568_531,NA,0.66414,NA,NA
E290_255,0.31566,NA,NA,NA
E308_726,0.91035,NA,NA,NA
E436_706,NA,0.8851,NA,NA
E542_629,NA,0.78788,NA,NA
E432_312,NA,NA,0.38763,NA
E440_113,0.13636,NA,NA,NA
E579_449,0.56061,NA,NA,NA
E567_29,0.0303,NA,NA,NA
E418_540,0.67551,NA,NA,NA
E156_648,0.81187,NA,NA,NA
E152_336,NA,0.41793,NA,NA
E43_460,NA,NA,0.57449,NA
E68_629,NA,0.78788,NA,NA
E509_308,NA,0.38258,NA,NA
E205_80,NA,NA,0.0947,NA
E474_521,NA,NA,0.65152,NA
E170_53,0.06061,NA,NA,NA
E353_230,NA,NA,NA,0.28409
E398_41,0.04545,NA,NA,NA
E35_611,NA,NA,NA,0.76515
E207_639,0.80051,NA,NA,NA
E124_286,NA,0.3548,NA,NA
E523_592,0.74116,NA,NA,NA
E381_124,0.15025,NA,NA,NA
E103_249,NA,NA,NA,0.30808
