,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E53_408,NA,NA,0.82056,NA,NA
E316_67,NA,NA,0.13306,NA,NA
E96_389,NA,NA,0.78226,NA,NA
E1_294,NA,0.59073,NA,NA,NA
E436_299,NA,NA,0.60081,NA,NA
E554_44,NA,0.08669,NA,NA,NA
E70_5,NA,NA,0.00806,NA,NA
E327_251,0.50403,NA,NA,NA,NA
E7_233,NA,0.46774,NA,NA,NA
E457_16,NA,NA,0.03024,NA,NA
E305_449,NA,0.90323,NA,NA,NA
E60_311,0.625,NA,NA,NA,NA
E298_76,0.15121,NA,NA,NA,NA
E468_99,NA,0.19758,NA,NA,NA
E495_156,0.3125,NA,NA,NA,NA
E425_332,0.66734,NA,NA,NA,NA
E139_128,NA,NA,NA,0.25605,NA
E194_200,NA,NA,0.40121,NA,NA
E323_290,NA,0.58266,NA,NA,NA
E127_497,1.0,NA,NA,NA,NA
E283_88,NA,0.1754,NA,NA,NA
E244_411,NA,0.82661,NA,NA,NA
E527_90,NA,NA,0.17944,NA,NA
E480_345,NA,0.69355,NA,NA,NA
E238_222,0.44556,NA,NA,NA,NA
E421_282,NA,0.56653,NA,NA,NA
E82_401,0.80645,NA,NA,NA,NA
E171_251,NA,NA,0.50403,NA,NA
E356_451,0.90726,NA,NA,NA,NA
E65_150,NA,NA,0.3004,NA,NA
E507_394,NA,NA,0.79234,NA,NA
E0_229,0.45968,NA,NA,NA,NA
E119_10,NA,NA,0.01815,NA,NA
E209_480,0.96573,NA,NA,NA,NA
E454_426,NA,0.85685,NA,NA,NA
E116_266,NA,NA,0.53427,NA,NA
E463_346,0.69556,NA,NA,NA,NA
E404_43,0.08468,NA,NA,NA,NA
E4_32,0.0625,NA,NA,NA,NA
E482_244,0.48992,NA,NA,NA,NA
E395_315,0.63306,NA,NA,NA,NA
E292_92,0.18347,NA,NA,NA,NA
E484_86,NA,0.17137,NA,NA,NA
E291_306,0.61492,NA,NA,NA,NA
E134_435,NA,NA,0.875,NA,NA
E411_460,NA,NA,NA,NA,0.9254
E437_188,0.37702,NA,NA,NA,NA
E511_118,NA,0.23589,NA,NA,NA
E288_8,NA,0.01411,NA,NA,NA
E319_96,0.19153,NA,NA,NA,NA
E578_244,0.48992,NA,NA,NA,NA
E93_104,0.20766,NA,NA,NA,NA
E163_134,NA,0.26815,NA,NA,NA
E47_428,NA,0.86089,NA,NA,NA
E135_415,NA,0.83468,NA,NA,NA
E198_405,0.81452,NA,NA,NA,NA
E394_158,NA,NA,0.31653,NA,NA
E551_42,NA,0.08266,NA,NA,NA
E128_496,NA,0.99798,NA,NA,NA
E318_445,NA,NA,0.89516,NA,NA
E341_465,NA,NA,NA,0.93548,NA
E239_53,NA,NA,NA,0.10484,NA
E430_161,NA,0.32258,NA,NA,NA
E57_16,NA,0.03024,NA,NA,NA
E306_235,NA,0.47177,NA,NA,NA
E88_165,NA,NA,0.33065,NA,NA
E370_492,0.98992,NA,NA,NA,NA
E557_362,0.72782,NA,NA,NA,NA
E399_291,0.58468,NA,NA,NA,NA
E446_128,NA,0.25605,NA,NA,NA
E470_167,NA,NA,NA,0.33468,NA
E567_366,NA,NA,0.73589,NA,NA
E289_105,NA,NA,0.20968,NA,NA
E27_402,NA,0.80847,NA,NA,NA
E546_293,0.58871,NA,NA,NA,NA
E155_168,NA,0.33669,NA,NA,NA
E544_153,NA,NA,0.30645,NA,NA
E560_196,NA,NA,0.39315,NA,NA
E115_436,NA,0.87702,NA,NA,NA
E375_346,NA,NA,NA,NA,0.69556
E247_81,NA,0.16129,NA,NA,NA
E197_244,NA,0.48992,NA,NA,NA
E165_268,NA,0.53831,NA,NA,NA
E75_344,NA,0.69153,NA,NA,NA
E561_144,NA,NA,NA,NA,0.28831
E181_251,0.50403,NA,NA,NA,NA
E94_203,NA,0.40726,NA,NA,NA
E64_85,NA,0.16935,NA,NA,NA
E591_145,NA,0.29032,NA,NA,NA
E515_286,NA,NA,0.5746,NA,NA
E501_289,0.58065,NA,NA,NA,NA
E449_94,NA,NA,NA,0.1875,NA
E157_404,0.8125,NA,NA,NA,NA
E89_51,NA,0.10081,NA,NA,NA
E599_409,NA,0.82258,NA,NA,NA
E503_108,NA,NA,0.21573,NA,NA
E369_295,NA,NA,0.59274,NA,NA
E489_22,0.04234,NA,NA,NA,NA
E15_347,NA,0.69758,NA,NA,NA
E67_471,0.94758,NA,NA,NA,NA
E523_444,0.89315,NA,NA,NA,NA
E455_115,NA,0.22984,NA,NA,NA
E483_245,NA,0.49194,NA,NA,NA
E581_418,0.84073,NA,NA,NA,NA
E538_157,0.31452,NA,NA,NA,NA
E3_384,NA,NA,0.77218,NA,NA
E377_373,0.75,NA,NA,NA,NA
E532_172,NA,NA,0.34476,NA,NA
E242_62,NA,0.12298,NA,NA,NA
E87_368,0.73992,NA,NA,NA,NA
E260_30,0.05847,NA,NA,NA,NA
E218_400,NA,0.80444,NA,NA,NA
E310_349,NA,NA,NA,NA,0.70161
E513_1,NA,NA,0.0,NA,NA
E180_469,NA,NA,NA,0.94355,NA
E28_342,0.6875,NA,NA,NA,NA
E114_36,NA,NA,0.07056,NA,NA
E270_197,NA,0.39516,NA,NA,NA
E424_79,NA,0.15726,NA,NA,NA
E493_384,NA,0.77218,NA,NA,NA
E588_227,0.45565,NA,NA,NA,NA
E99_197,NA,0.39516,NA,NA,NA
E105_180,NA,0.36089,NA,NA,NA
E71_481,NA,0.96774,NA,NA,NA
E379_110,NA,NA,0.21976,NA,NA
E339_396,NA,0.79637,NA,NA,NA
E169_368,0.73992,NA,NA,NA,NA
E76_179,NA,NA,0.35887,NA,NA
E221_370,0.74395,NA,NA,NA,NA
E304_41,0.08065,NA,NA,NA,NA
E107_279,0.56048,NA,NA,NA,NA
E303_76,NA,NA,NA,NA,0.15121
E426_397,NA,0.79839,NA,NA,NA
E25_425,NA,NA,0.85484,NA,NA
E196_239,NA,NA,NA,0.47984,NA
E552_133,0.26613,NA,NA,NA,NA
E407_108,0.21573,NA,NA,NA,NA
E388_493,0.99194,NA,NA,NA,NA
E41_233,0.46774,NA,NA,NA,NA
E179_207,NA,NA,NA,NA,0.41532
E299_38,0.0746,NA,NA,NA,NA
E439_426,NA,NA,0.85685,NA,NA
E389_21,NA,0.04032,NA,NA,NA
E349_133,NA,NA,0.26613,NA,NA
E521_435,NA,NA,0.875,NA,NA
E271_370,0.74395,NA,NA,NA,NA
E502_363,0.72984,NA,NA,NA,NA
E376_71,NA,0.14113,NA,NA,NA
E276_107,0.21371,NA,NA,NA,NA
E29_430,NA,0.86492,NA,NA,NA
E61_59,0.11694,NA,NA,NA,NA
E63_430,NA,NA,0.86492,NA,NA
E199_456,NA,NA,NA,NA,0.91734
E462_396,NA,0.79637,NA,NA,NA
E387_460,0.9254,NA,NA,NA,NA
E556_125,NA,0.25,NA,NA,NA
E324_425,NA,0.85484,NA,NA,NA
E178_292,NA,NA,NA,0.58669,NA
E229_55,NA,0.10887,NA,NA,NA
E315_192,NA,NA,0.38508,NA,NA
E362_178,NA,0.35685,NA,NA,NA
E570_334,NA,NA,0.67137,NA,NA
E396_274,0.5504,NA,NA,NA,NA
E159_211,NA,0.42339,NA,NA,NA
E508_171,NA,0.34274,NA,NA,NA
E183_477,NA,0.95968,NA,NA,NA
E168_157,NA,0.31452,NA,NA,NA
E409_235,0.47177,NA,NA,NA,NA
E391_70,NA,NA,0.13911,NA,NA
E259_83,NA,NA,0.16532,NA,NA
E84_273,0.54839,NA,NA,NA,NA
E530_469,0.94355,NA,NA,NA,NA
E275_285,NA,NA,0.57258,NA,NA
E40_58,0.11492,NA,NA,NA,NA
E573_275,NA,0.55242,NA,NA,NA
E38_266,NA,0.53427,NA,NA,NA
E336_480,0.96573,NA,NA,NA,NA
E147_480,0.96573,NA,NA,NA,NA
E465_118,0.23589,NA,NA,NA,NA
E83_85,NA,0.16935,NA,NA,NA
E402_459,NA,NA,0.92339,NA,NA
E152_200,NA,NA,0.40121,NA,NA
E346_303,NA,NA,0.60887,NA,NA
E542_408,0.82056,NA,NA,NA,NA
E442_106,NA,NA,0.21169,NA,NA
E520_412,NA,NA,0.82863,NA,NA
E413_4,NA,NA,0.00605,NA,NA
E466_213,NA,0.42742,NA,NA,NA
E214_209,0.41935,NA,NA,NA,NA
E251_143,NA,NA,NA,NA,0.28629
E353_380,0.76411,NA,NA,NA,NA
E110_483,NA,NA,NA,NA,0.97177
E173_440,0.88508,NA,NA,NA,NA
E11_315,NA,0.63306,NA,NA,NA
E590_197,0.39516,NA,NA,NA,NA
E2_330,0.66331,NA,NA,NA,NA
E34_328,NA,NA,NA,0.65927,NA
E384_467,NA,NA,NA,0.93952,NA
E418_345,0.69355,NA,NA,NA,NA
E535_458,NA,NA,0.92137,NA,NA
E438_274,NA,NA,0.5504,NA,NA
E192_20,NA,NA,0.03831,NA,NA
E243_72,NA,0.14315,NA,NA,NA
E499_490,NA,0.98589,NA,NA,NA
E576_395,NA,NA,0.79435,NA,NA
E314_397,0.79839,NA,NA,NA,NA
E280_432,NA,0.86895,NA,NA,NA
E477_332,NA,NA,0.66734,NA,NA
E225_222,NA,NA,0.44556,NA,NA
E347_147,0.29435,NA,NA,NA,NA
E335_398,NA,0.8004,NA,NA,NA
E126_231,NA,NA,NA,NA,0.46371
E5_68,0.13508,NA,NA,NA,NA
E203_284,NA,0.57056,NA,NA,NA
E215_173,NA,0.34677,NA,NA,NA
E469_42,NA,NA,0.08266,NA,NA
E345_353,NA,NA,0.70968,NA,NA
E563_428,NA,0.86089,NA,NA,NA
E293_56,0.11089,NA,NA,NA,NA
E403_9,NA,0.01613,NA,NA,NA
E295_412,NA,NA,0.82863,NA,NA
E162_373,NA,0.75,NA,NA,NA
E184_213,0.42742,NA,NA,NA,NA
E245_177,0.35484,NA,NA,NA,NA
E594_241,NA,0.48387,NA,NA,NA
E223_382,0.76815,NA,NA,NA,NA
