,PseudoTime1,PseudoTime2
E149_184,0.36768,NA
E560_372,0.74747,NA
E355_483,NA,0.97172
E518_195,NA,0.3899
E93_232,NA,0.46465
E539_150,0.29899,NA
E55_69,NA,0.13535
E584_39,0.07475,NA
E500_436,0.87677,NA
E527_76,0.14949,NA
E216_96,0.1899,NA
E134_425,0.85455,NA
E381_63,NA,0.12323
E354_396,0.79596,NA
E99_281,NA,0.56364
E345_254,NA,0.50909
E84_425,NA,0.85455
E526_23,NA,0.04242
E220_344,NA,0.69091
E313_376,0.75556,NA
E565_83,NA,0.16364
E426_349,0.70101,NA
E566_316,NA,0.63434
E14_112,NA,0.22222
E78_292,NA,0.58586
E336_85,0.16768,NA
E498_133,NA,0.26465
E357_169,0.33737,NA
E39_277,NA,0.55556
E424_53,NA,0.10303
E536_112,NA,0.22222
E295_282,0.56566,NA
E201_449,NA,0.90303
E423_168,NA,0.33535
E235_403,0.8101,NA
E228_297,NA,0.59596
E390_394,NA,0.79192
E523_151,NA,0.30101
E253_122,NA,0.24242
E104_6,0.00808,NA
E439_459,NA,0.92323
E516_462,0.92929,NA
E4_305,NA,0.61212
E330_317,NA,0.63636
E545_422,0.84848,NA
E463_22,NA,0.0404
E511_286,NA,0.57374
E327_91,NA,0.1798
E356_466,NA,0.93737
E482_128,NA,0.25455
E389_452,NA,0.90909
E3_170,NA,0.33939
E332_17,NA,0.0303
E56_473,NA,0.95152
E311_460,0.92525,NA
E183_340,0.68283,NA
E18_319,0.6404,NA
E19_377,0.75758,NA
E458_161,NA,0.32121
E279_131,0.26061,NA
E63_181,NA,0.36162
E340_270,0.54141,NA
E532_328,NA,0.65859
E484_102,NA,0.20202
E298_39,0.07475,NA
E286_303,0.60808,NA
E412_450,NA,0.90505
E280_474,NA,0.95354
E7_207,0.41414,NA
E102_11,0.01818,NA
E212_131,0.26061,NA
E106_105,0.20808,NA
E281_68,0.13333,NA
E364_493,NA,0.99192
E87_488,0.98182,NA
E274_21,NA,0.03838
E133_110,NA,0.21818
E476_32,NA,0.06061
E328_342,0.68687,NA
E10_346,NA,0.69495
E64_379,0.76162,NA
E594_331,NA,0.66465
E303_360,NA,0.72323
E257_482,0.9697,NA
E263_294,NA,0.5899
E559_153,0.30505,NA
E31_119,0.23636,NA
E52_20,NA,0.03636
E349_29,NA,0.05455
E34_202,0.40404,NA
E448_134,NA,0.26667
E89_82,0.16162,NA
E74_27,NA,0.05051
E119_91,0.1798,NA
E488_188,NA,0.37576
E233_420,NA,0.84444
E433_124,NA,0.24646
E495_223,0.44646,NA
E531_15,0.02626,NA
E403_494,0.99394,NA
E107_379,0.76162,NA
E576_311,0.62424,NA
E128_400,0.80404,NA
E41_53,NA,0.10303
E98_2,NA,0.0
E190_455,NA,0.91515
E224_145,0.28889,NA
E62_485,0.97576,NA
E132_108,0.21414,NA
E386_397,0.79798,NA
E254_430,0.86465,NA
E120_355,0.71313,NA
E246_168,NA,0.33535
E251_142,0.28283,NA
