,PseudoTime1,PseudoTime2,PseudoTime3
E56_798,NA,NA,1.0
E440_408,NA,0.51066,NA
E59_431,0.53952,NA,NA
E66_477,NA,0.59724,NA
E454_754,NA,NA,0.94479
E308_368,NA,0.46048,NA
E475_479,NA,0.59975,NA
E82_321,0.40151,NA,NA
E467_738,NA,NA,0.92472
E465_585,0.73275,NA,NA
E303_434,NA,0.54329,NA
E392_258,NA,NA,0.32246
E63_725,0.90841,NA,NA
E71_249,NA,0.31117,NA
E352_794,NA,0.99498,NA
E579_548,NA,0.68632,NA
E52_520,NA,NA,0.65119
E239_302,NA,0.37767,NA
E596_96,0.1192,NA,NA
E514_561,NA,0.70263,NA
E149_431,NA,0.53952,NA
E366_205,0.25596,NA,NA
E543_735,NA,0.92095,NA
E354_143,0.17817,NA,NA
E186_461,0.57716,NA,NA
E194_571,0.71518,NA,NA
E545_478,0.59849,NA,NA
E54_792,NA,0.99247,NA
E558_58,0.07152,NA,NA
E566_726,0.90966,NA,NA
E167_399,NA,0.49937,NA
E128_734,0.9197,NA,NA
E483_636,NA,NA,0.79674
E181_33,NA,0.04015,NA
E362_157,NA,0.19573,NA
E407_293,0.36637,NA,NA
E534_675,NA,NA,0.84567
E150_543,0.68005,NA,NA
E468_585,0.73275,NA,NA
E333_241,NA,0.30113,NA
E113_675,NA,NA,0.84567
E156_349,0.43664,NA,NA
E319_715,0.89586,NA,NA
E92_555,NA,NA,0.69511
E324_188,NA,0.23463,NA
E134_595,0.74529,NA,NA
E51_741,0.92848,NA,NA
E529_455,NA,NA,0.56964
E53_154,NA,0.19197,NA
E238_597,NA,0.7478,NA
E548_633,NA,NA,0.79297
E438_392,NA,NA,0.49059
E248_116,0.14429,NA,NA
E224_775,0.97114,NA,NA
E119_14,NA,0.01631,NA
E310_794,NA,0.99498,NA
E323_748,0.93726,NA,NA
E16_212,NA,NA,0.26474
E195_304,NA,0.38018,NA
E448_91,NA,0.11292,NA
E143_199,NA,0.24843,NA
E114_208,NA,0.25972,NA
E577_400,NA,0.50063,NA
E265_17,NA,NA,0.02008
E21_601,NA,NA,0.75282
E488_498,0.62359,NA,NA
E12_508,NA,0.63614,NA
E146_401,NA,0.50188,NA
E391_549,0.68758,NA,NA
E470_613,0.76788,NA,NA
E552_246,NA,NA,0.3074
E497_414,0.51819,NA,NA
E245_45,NA,NA,0.05521
E42_330,NA,0.4128,NA
E160_379,NA,0.47428,NA
E537_290,NA,0.36261,NA
E81_238,NA,0.29737,NA
E496_470,NA,0.58846,NA
E219_714,NA,0.8946,NA
E38_492,0.61606,NA,NA
E115_600,NA,0.75157,NA
E69_704,NA,NA,0.88206
E135_701,NA,NA,0.87829
E317_193,0.2409,NA,NA
E120_602,NA,NA,0.75408
E348_716,NA,NA,0.89711
E591_391,0.48934,NA,NA
E118_302,NA,0.37767,NA
E218_305,NA,NA,0.38143
E447_161,0.20075,NA,NA
E33_776,NA,0.9724,NA
E578_572,0.71644,NA,NA
E486_719,NA,NA,0.90088
E192_551,NA,NA,0.69009
E41_272,NA,0.34003,NA
E307_517,NA,NA,0.64743
E209_769,NA,NA,0.96361
E474_27,NA,0.03262,NA
E338_339,0.42409,NA,NA
E305_476,0.59598,NA,NA
E142_284,0.35508,NA,NA
E234_556,NA,0.69636,NA
E77_372,NA,NA,0.4655
E568_105,NA,0.13049,NA
E557_757,NA,0.94856,NA
E572_551,NA,0.69009,NA
E171_689,NA,0.86324,NA
E121_199,NA,0.24843,NA
E188_279,0.34881,NA,NA
E495_301,NA,0.37641,NA
E202_483,NA,0.60477,NA
E544_174,NA,0.21706,NA
E249_132,0.16437,NA,NA
E316_288,NA,NA,0.3601
E266_352,NA,0.4404,NA
E466_31,NA,0.03764,NA
E314_794,NA,NA,0.99498
E576_432,NA,NA,0.54078
E217_563,NA,NA,0.70514
E212_1,0.0,NA,NA
E25_199,NA,0.24843,NA
E3_325,0.40652,NA,NA
E345_719,NA,0.90088,NA
E406_276,0.34504,NA,NA
E7_249,0.31117,NA,NA
E358_184,NA,0.22961,NA
E207_452,0.56587,NA,NA
E492_703,NA,0.8808,NA
E244_755,0.94605,NA,NA
E509_123,NA,NA,0.15307
E380_630,NA,NA,0.78921
E328_117,NA,0.14555,NA
E374_252,NA,0.31493,NA
E164_511,NA,NA,0.6399
E76_779,NA,NA,0.97616
E585_356,NA,0.44542,NA
E15_553,NA,NA,0.6926
E233_218,0.27227,NA,NA
E498_290,NA,NA,0.36261
E304_267,0.33375,NA,NA
E74_414,0.51819,NA,NA
E184_82,NA,NA,0.10163
E37_350,NA,NA,0.43789
E277_206,NA,0.25721,NA
E279_346,NA,0.43287,NA
E546_217,0.27102,NA,NA
E201_637,NA,0.79799,NA
E571_590,NA,NA,0.73902
E302_291,NA,NA,0.36386
E193_770,NA,0.96487,NA
E93_473,NA,NA,0.59222
E547_329,NA,NA,0.41154
E437_416,NA,NA,0.5207
E458_293,NA,0.36637,NA
E271_12,NA,0.0138,NA
E343_351,0.43915,NA,NA
E32_541,NA,0.67754,NA
E91_17,0.02008,NA,NA
E88_596,NA,0.74655,NA
E23_304,NA,NA,0.38018
E476_532,0.66625,NA,NA
E487_387,NA,0.48432,NA
E270_138,NA,NA,0.17189
E280_31,NA,NA,0.03764
E100_615,NA,0.77039,NA
E565_219,NA,0.27353,NA
E10_619,NA,0.77541,NA
E230_461,NA,0.57716,NA
E398_296,0.37014,NA,NA
E9_285,NA,NA,0.35634
E531_427,NA,NA,0.5345
E386_638,NA,0.79925,NA
E561_303,NA,0.37892,NA
E117_723,NA,0.9059,NA
E367_239,NA,0.29862,NA
E482_750,NA,0.93977,NA
E173_784,0.98243,NA,NA
E189_482,NA,0.60351,NA
E342_562,NA,0.70389,NA
E369_523,NA,NA,0.65496
E346_261,NA,0.32622,NA
E250_37,NA,NA,0.04517
E229_204,0.25471,NA,NA
E48_290,NA,NA,0.36261
E344_39,NA,NA,0.04768
E252_357,0.44668,NA,NA
E262_529,0.66248,NA,NA
E260_536,0.67127,NA,NA
E441_561,0.70263,NA,NA
E110_104,NA,NA,0.12923
E540_47,NA,0.05772,NA
E433_349,NA,NA,0.43664
E125_380,NA,0.47553,NA
E75_506,NA,0.63363,NA
E405_268,NA,0.33501,NA
E501_224,0.2798,NA,NA
E132_119,NA,0.14806,NA
E8_93,NA,0.11543,NA
E508_687,NA,0.86073,NA
E264_723,0.9059,NA,NA
E481_481,NA,NA,0.60226
E583_513,NA,0.64241,NA
E452_160,0.1995,NA,NA
E247_787,NA,0.9862,NA
E428_630,NA,NA,0.78921
E451_348,0.43538,NA,NA
E0_74,0.09159,NA,NA
E519_630,0.78921,NA,NA
E432_377,0.47177,NA,NA
E258_190,0.23714,NA,NA
