,PseudoTime1,PseudoTime2
E539_98,0.19517,NA
E102_482,0.96781,NA
E153_295,0.59155,NA
E71_25,0.04829,NA
E416_277,0.55533,NA
E519_166,0.33199,NA
E253_167,0.334,NA
E378_407,0.8169,NA
E207_474,0.95171,NA
E533_255,0.51107,NA
E362_385,NA,0.77264
E21_24,0.04628,NA
E92_302,0.60563,NA
E147_462,0.92757,NA
E514_57,0.11268,NA
E40_331,0.66398,NA
E20_19,0.03622,NA
E259_161,0.32193,NA
E418_201,NA,0.40241
E262_470,0.94366,NA
E285_53,0.10463,NA
E204_349,NA,0.7002
E527_215,0.43058,NA
E350_323,0.64789,NA
E122_307,0.61569,NA
E453_416,0.83501,NA
E41_485,0.97384,NA
E88_37,NA,0.07243
E195_285,0.57143,NA
E28_140,NA,0.27968
E349_324,0.6499,NA
E260_464,NA,0.93159
E188_202,NA,0.40443
E283_217,NA,0.43461
E558_145,0.28974,NA
E434_209,0.41851,NA
E302_276,0.55332,NA
E542_24,0.04628,NA
E561_183,0.3662,NA
E243_427,NA,0.85714
E202_295,0.59155,NA
E353_198,0.39638,NA
E586_327,NA,0.65594
E336_316,0.6338,NA
E119_330,0.66197,NA
E137_424,0.85111,NA
E506_183,0.3662,NA
E444_62,0.12274,NA
E241_371,NA,0.74447
E581_125,0.2495,NA
E90_289,NA,0.57948
E230_211,0.42254,NA
E261_382,0.7666,NA
E559_402,0.80684,NA
E206_126,0.25151,NA
E163_264,0.52918,NA
E361_435,0.87324,NA
E177_113,NA,0.22535
E333_494,0.99195,NA
E179_375,0.75252,NA
E75_137,0.27364,NA
E518_498,1.0,NA
E314_475,0.95372,NA
E381_341,0.6841,NA
E529_143,0.28571,NA
E383_32,0.06237,NA
E498_26,0.0503,NA
E232_126,0.25151,NA
E132_347,0.69618,NA
E548_222,0.44467,NA
E115_300,0.60161,NA
E457_223,0.44668,NA
E449_197,0.39437,NA
E255_286,0.57344,NA
E411_275,0.55131,NA
E592_198,0.39638,NA
E198_371,0.74447,NA
E296_348,NA,0.69819
E524_222,0.44467,NA
E589_272,0.54527,NA
E101_75,NA,0.14889
E500_41,0.08048,NA
E226_406,0.81489,NA
E354_150,NA,0.2998
E297_322,0.64588,NA
E404_477,0.95775,NA
E183_324,NA,0.6499
E22_272,0.54527,NA
E11_382,0.7666,NA
E155_86,0.17103,NA
E574_189,0.37827,NA
E433_431,0.86519,NA
E413_470,NA,0.94366
E459_384,0.77062,NA
E8_335,0.67203,NA
E584_286,NA,0.57344
E391_293,0.58753,NA
E240_404,0.81087,NA
E572_15,0.02817,NA
E308_74,0.14688,NA
E311_129,0.25755,NA
E450_449,0.90141,NA
E370_34,0.0664,NA
E400_275,0.55131,NA
E186_43,0.08451,NA
E15_476,0.95573,NA
E215_22,0.04225,NA
E570_417,0.83702,NA
E409_139,NA,0.27767
E486_489,NA,0.98189
E228_493,0.98994,NA
E85_145,0.28974,NA
E491_111,0.22133,NA
E29_454,0.91147,NA
E229_184,0.36821,NA
E268_345,0.69215,NA
E105_376,NA,0.75453
E374_189,0.37827,NA
E134_415,0.833,NA
E526_272,NA,0.54527
E172_274,0.5493,NA
E346_187,0.37425,NA
E358_150,0.2998,NA
E47_329,0.65996,NA
E520_360,NA,0.72233
E454_92,0.1831,NA
E560_371,NA,0.74447
E460_127,0.25352,NA
E351_163,0.32596,NA
E448_54,NA,0.10664
E194_55,0.10865,NA
E568_325,0.65191,NA
E248_223,0.44668,NA
E113_56,0.11066,NA
E103_404,0.81087,NA
E479_344,0.69014,NA
E99_27,NA,0.05231
E344_19,0.03622,NA
E335_380,0.76258,NA
E440_427,NA,0.85714
E347_457,NA,0.91751
E185_426,NA,0.85513
E217_158,0.3159,NA
E394_400,0.80282,NA
E112_82,NA,0.16298
E190_156,NA,0.31187
E522_217,NA,0.43461
E264_348,NA,0.69819
E405_292,0.58551,NA
E485_299,0.5996,NA
E492_418,0.83903,NA
E193_106,0.21127,NA
E274_233,0.4668,NA
E233_462,NA,0.92757
E517_364,NA,0.73038
E307_402,0.80684,NA
E557_216,NA,0.4326
E319_161,0.32193,NA
E566_361,0.72435,NA
E251_260,0.52113,NA
E263_434,NA,0.87123
E176_133,0.26559,NA
E6_133,0.26559,NA
E265_96,0.19115,NA
E129_494,0.99195,NA
E360_390,NA,0.7827
E87_133,0.26559,NA
E121_432,0.8672,NA
E320_158,NA,0.3159
E317_86,0.17103,NA
E80_386,NA,0.77465
E357_36,0.07042,NA
E534_110,0.21932,NA
E364_83,0.16499,NA
E246_218,0.43662,NA
E279_307,0.61569,NA
E43_242,0.48491,NA
E288_122,0.24346,NA
E481_360,NA,0.72233
E2_441,0.88531,NA
E31_398,0.79879,NA
E436_102,NA,0.20322
E505_397,0.79678,NA
E36_68,NA,0.13481
E157_214,0.42857,NA
E97_348,NA,0.69819
E594_460,0.92354,NA
E417_141,0.28169,NA
E23_220,0.44064,NA
E201_105,0.20926,NA
E281_393,NA,0.78873
E295_80,0.15895,NA
E567_369,0.74044,NA
E456_436,0.87525,NA
E593_430,0.86318,NA
E483_258,0.5171,NA
E494_242,0.48491,NA
E141_282,0.56539,NA
E56_250,0.50101,NA
E327_389,0.78068,NA
E164_364,0.73038,NA
E301_369,0.74044,NA
E82_228,0.45674,NA
E33_469,0.94165,NA
E83_69,0.13682,NA
E538_104,0.20724,NA
E208_149,0.29779,NA
E583_46,0.09054,NA
E98_470,0.94366,NA
E590_158,0.3159,NA
E95_268,0.53722,NA
E249_97,0.19316,NA
E339_50,0.09859,NA
E512_486,0.97586,NA
E286_201,NA,0.40241
E212_484,0.97183,NA
E389_351,0.70423,NA
E224_374,0.7505,NA
E165_462,NA,0.92757
E169_418,0.83903,NA
E553_313,NA,0.62777
E306_113,0.22535,NA
E543_480,0.96378,NA
E14_475,NA,0.95372
E145_107,0.21328,NA
E445_27,0.05231,NA
E598_78,0.15493,NA
E497_370,0.74245,NA
E24_350,NA,0.70221
E547_61,NA,0.12072
E221_156,0.31187,NA
E10_426,0.85513,NA
E587_140,NA,0.27968
E3_334,NA,0.67002
E245_367,0.73642,NA
E94_455,NA,0.91348
E63_243,NA,0.48692
E466_325,0.65191,NA
E178_22,0.04225,NA
E375_275,NA,0.55131
E388_373,0.74849,NA
E168_345,0.69215,NA
E475_86,NA,0.17103
E380_49,0.09658,NA
E127_288,0.57746,NA
E294_320,0.64185,NA
E387_427,0.85714,NA
E310_278,NA,0.55734
E427_77,0.15292,NA
E118_327,0.65594,NA
E421_334,0.67002,NA
E325_477,0.95775,NA
E140_105,0.20926,NA
E236_364,NA,0.73038
E342_185,0.37022,NA
E150_19,0.03622,NA
E227_113,0.22535,NA
E470_258,0.5171,NA
E595_174,NA,0.34809
E384_307,NA,0.61569
E550_421,0.84507,NA
E376_83,0.16499,NA
E366_132,NA,0.26358
E478_113,0.22535,NA
E304_246,0.49296,NA
E126_231,0.46278,NA
E379_70,0.13883,NA
E368_192,0.38431,NA
E309_468,0.93964,NA
E385_146,0.29175,NA
E441_187,0.37425,NA
E220_447,NA,0.89738
E487_190,0.38028,NA
E114_330,0.66197,NA
E148_423,0.84909,NA
E355_40,0.07847,NA
E58_473,0.9497,NA
E180_227,NA,0.45473
E345_70,0.13883,NA
E382_121,0.24145,NA
E407_141,0.28169,NA
E222_435,0.87324,NA
E579_339,0.68008,NA
E352_453,0.90946,NA
E214_287,0.57545,NA
E511_158,NA,0.3159
E269_386,0.77465,NA
E247_358,NA,0.71831
